"Data","Ora","Azione","Stazione","Elett.","Minuti","Consumo"
"<nobr>15/05/2017</nobr>","<nobr>15:58:20</nobr>","<nobr>24</nobr>","<nobr>Ospedale</nobr>","","<nobr>23</nobr>","<nobr>0,00</nobr>"
"<nobr>15/05/2017</nobr>","<nobr>15:35:00</nobr>","<nobr>12</nobr>","<nobr>Via Paoli</nobr>","","",""
"<nobr>14/05/2017</nobr>","<nobr>00:27:21</nobr>","<nobr>24</nobr>","<nobr>Piazza di Centa</nobr>","","<nobr>7</nobr>","<nobr>0,00</nobr>"
"<nobr>14/05/2017</nobr>","<nobr>00:20:38</nobr>","<nobr>12</nobr>","<nobr>Centro Santa Chiara</nobr>","","",""
"<nobr>13/05/2017</nobr>","<nobr>22:22:58</nobr>","<nobr>24</nobr>","<nobr>Centro Santa Chiara</nobr>","","<nobr>4</nobr>","<nobr>0,00</nobr>"
"<nobr>13/05/2017</nobr>","<nobr>22:18:39</nobr>","<nobr>12</nobr>","<nobr>Piazza della Mostra</nobr>","","",""
"<nobr>13/05/2017</nobr>","<nobr>22:18:02</nobr>","<nobr>24</nobr>","<nobr>Piazza della Mostra</nobr>","","<nobr>3</nobr>","<nobr>0,00</nobr>"
"<nobr>10/05/2017</nobr>","<nobr>12:53:26</nobr>","<nobr>24</nobr>","<nobr>P. Rosmini</nobr>","","<nobr>5</nobr>","<nobr>0,00</nobr>"
"<nobr>10/05/2017</nobr>","<nobr>12:48:25</nobr>","<nobr>12</nobr>","<nobr>Stazione FF.SS.</nobr>","","",""
"<nobr>09/05/2017</nobr>","<nobr>13:52:42</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>4</nobr>","<nobr>0,00</nobr>"
"<nobr>09/05/2017</nobr>","<nobr>13:48:53</nobr>","<nobr>12</nobr>","<nobr>Stazione FF.SS.</nobr>","","",""
"<nobr>06/05/2017</nobr>","<nobr>14:31:03</nobr>","<nobr>24</nobr>","<nobr>Muse</nobr>","","<nobr>9</nobr>","<nobr>0,00</nobr>"
"<nobr>03/05/2017</nobr>","<nobr>18:10:04</nobr>","<nobr>24</nobr>","<nobr>Stazione FF.SS.</nobr>","","<nobr>2</nobr>","<nobr>0,00</nobr>"
"<nobr>03/05/2017</nobr>","<nobr>18:08:07</nobr>","<nobr>12</nobr>","<nobr>Via Paoli</nobr>","","",""
"<nobr>03/05/2017</nobr>","<nobr>12:55:51</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>4</nobr>","<nobr>0,00</nobr>"
"<nobr>03/05/2017</nobr>","<nobr>12:51:28</nobr>","<nobr>12</nobr>","<nobr>Stazione FF.SS.</nobr>","","",""
"<nobr>01/05/2017</nobr>","<nobr>20:35:36</nobr>","<nobr>24</nobr>","<nobr>Stazione FF.SS.</nobr>","","<nobr>2</nobr>","<nobr>0,00</nobr>"
"<nobr>01/05/2017</nobr>","<nobr>20:33:19</nobr>","<nobr>12</nobr>","<nobr>Via Paoli</nobr>","","",""
"<nobr>01/05/2017</nobr>","<nobr>12:27:43</nobr>","<nobr>24</nobr>","<nobr>Ospedale</nobr>","","<nobr>13</nobr>","<nobr>0,00</nobr>"
"<nobr>01/05/2017</nobr>","<nobr>12:14:33</nobr>","<nobr>12</nobr>","<nobr>P. Rosmini</nobr>","","",""
"<nobr>01/05/2017</nobr>","<nobr>12:02:36</nobr>","<nobr>24</nobr>","<nobr>P. Rosmini</nobr>","","<nobr>16</nobr>","<nobr>0,00</nobr>"
"<nobr>01/05/2017</nobr>","<nobr>11:46:52</nobr>","<nobr>12</nobr>","<nobr>Ospedale</nobr>","","",""
"<nobr>30/04/2017</nobr>","<nobr>22:58:18</nobr>","<nobr>24</nobr>","<nobr>Ospedale</nobr>","","<nobr>7</nobr>","<nobr>0,00</nobr>"
"<nobr>30/04/2017</nobr>","<nobr>22:51:43</nobr>","<nobr>12</nobr>","<nobr>P. Rosmini</nobr>","","",""
"<nobr>30/04/2017</nobr>","<nobr>14:50:40</nobr>","<nobr>24</nobr>","<nobr>Via Paoli</nobr>","","<nobr>2</nobr>","<nobr>0,00</nobr>"
"<nobr>30/04/2017</nobr>","<nobr>14:48:22</nobr>","<nobr>12</nobr>","<nobr>Stazione FF.SS.</nobr>","","",""
"<nobr>29/04/2017</nobr>","<nobr>20:05:55</nobr>","<nobr>24</nobr>","<nobr>Stazione Autocorriere</nobr>","","<nobr>27</nobr>","<nobr>0,00</nobr>"
"<nobr>29/04/2017</nobr>","<nobr>19:38:46</nobr>","<nobr>12</nobr>","<nobr>Centro Santa Chiara</nobr>","","",""
"<nobr>17/04/2017</nobr>","<nobr>18:11:30</nobr>","<nobr>24</nobr>","<nobr>Piazza di Centa</nobr>","","<nobr>10</nobr>","<nobr>0,00</nobr>"
"<nobr>17/04/2017</nobr>","<nobr>18:01:40</nobr>","<nobr>12</nobr>","<nobr>Piscina</nobr>","","",""
"<nobr>15/04/2017</nobr>","<nobr>15:16:33</nobr>","<nobr>24</nobr>","<nobr>Bezzi</nobr>","","<nobr>19</nobr>","<nobr>0,00</nobr>"
"<nobr>15/04/2017</nobr>","<nobr>14:57:25</nobr>","<nobr>12</nobr>","<nobr>Centro Santa Chiara</nobr>","","",""
"<nobr>15/04/2017</nobr>","<nobr>14:16:55</nobr>","<nobr>24</nobr>","<nobr>Centro Santa Chiara</nobr>","","<nobr>10</nobr>","<nobr>0,00</nobr>"
"<nobr>15/04/2017</nobr>","<nobr>14:06:15</nobr>","<nobr>12</nobr>","<nobr>Piazza di Centa</nobr>","","",""
